,comment_text,comment_party,comment_name,interrupted_speaker_party,interrupted_speaker,date,speech_id,preceding_context,sentiment
2661,Das  ändern wir!,CDU/CSU,Dr. Kurt Faltlhauser,SPD,Joachim Poß,1992-05-07,6333,"Herr Kollege Hauser, haben  nicht auch Sie wie ich den Unterlagen zur gestrigen  Anhörung entnehmen können, daß von Leuten, die  beispielsweise 1 Million Jahreseinkommen haben,  nur jeder dritte Zinseinkünfte angibt?  (Dr. Kurt Faltlhauser [CDU/CSU]: Als Ist Zustand!)  — Als Ist-Zustand.  (",0
2662,Weil die Linken nicht regieren!,FDP,<unknown>,DIE LINKE,Alexander Ulrich,2019-05-10,158348,nister mehr ist. (Heiterkeit bei Abgeordneten der FDP – Reinhard Houben [FDP]: Also die Linke unterstützt Peter Altmaier?) Das wäre an dieser Stelle schade; denn wir brauchen einen aktiveren Staat. Das haben die letzten Jahre gezeigt. Warum sind wir denn so gut aus der Wirtschaftskrise herausgekomme,0
2663,Da wäre Realität  angebracht gewesen!,SPD,Ernst Schwanhold,CDU/CSU,Paul Krüger,1996-06-20,30031," ich nur sagen, wir müssen schnell  zur Realität zurückkehren.  (Beifall bei der CDU/CSU)  Ostdeutschland - das ist wahr - spielt in der europäischen Wirtschaftsliga noch am unteren Tabellenende. Sie sollten aber nicht vergessen, mit welchem  Minuspunktekonto wir vor sechs Jahren gestartet  sind.  (",0
2664,Das ist sie  längst!,DIE LINKE,Dr. Diether Dehm,CDU/CSU,Dr. Angela Merkel,2011-09-07,107877,"Wir sind da ja in feiner Gesellschaft: Wir sind damit in Europa nicht alleine, wir sind damit mit den Vereinigten Staaten nicht alleine, wir sind damit mit Japan nicht alleine. Ich bin aber zutiefst davon überzeugt: Diese Krise, wenn sie nicht zu einer großen Krise der westlichen Welt werden soll, (",0
2665,Im  immer wieder verteidigt und sind damit durch alle Insti,FDP,Dirk Niebel,GRÜNE,Ekin Deligöz,2000-03-24,47389,"iges rosigere Werder Finanzpolitik und in der Ökologie genauso wie in te. Das wäre doch eine Sache!  der Ökonomie. Gerade wir Grüne haben dieses Anliegen  der nachhaltigen Entwicklung und der Generationen- (Beifall beim GRÜNE  gerechtigkeit über zwei Jahrzehnte hinweg eingebracht, und bei der SPD – ",0
2666,Das stimmt nicht!,SPD,Thomas Krüger,SPD,Thomas Krüger,1997-11-13,37035,"er  Kraft setzen, nur weil wir es gern wollen oder weil  die Kommunen im Moment kein Geld haben.  (Zuruf von der SPD: Herr Waigel setzt das  außer Kraft!)   Die meisten Ihrer Forderungen in Ihrem Antrag -  lesen Sie noch einmal nach - richten sich nun einmal  eindeutig an die Länder und Kommunen.  (",1
2667,Am Wochenende ist wieder Strategietreffen!,SPD,Dr. Matthias Bartke,DIE LINKE,Sabine Zimmermann,2020-03-06,165362,"ssen! – unsere Arbeitslosenversicherung beschädigt hatten, stand nur Die Linke für eine Arbeitslosenversicherung, die fit für die Zukunft ist. In Zeiten wirtschaftlicher Schwäche und Transformation wie heute muss man die Leistungen der Arbeitslosenversicherung verbessern; das ist der richtige Weg. (",0
2668,So wie der Steinkühler: Wasser reden und Wein trinken!,CDU/CSU,Siegfried Hornung,SPD,Regina Kolbe,1993-06-30,13653,"leme.  (Beifall bei der SPD, der DIE LINKE und  dem GRÜNE — Julius  Louven [CDU/CSU]: Und damit wären alle  Probleme gelöst!)  — Nicht alle, aber wesentliche. Und wir bräuchten  nicht von den .firmsten der Armen zu nehmen.-  (Karl-Josef Laumann [CDU/CSU]: Was haben Sie denn für eine Alte rnative? — ",1
2669,Das müssen Sie den  Brüsselern sagen und nicht uns!,SPD,Sigmar Gabriel,CDU/CSU,Dr. Angela Merkel,2012-09-12,115309,"gen, dass, neben den vielen guten und  richtigen Aufforderungen, dass mehr Menschen studieren, das Berufsbildungssystem nicht einfach abgeschlagen zur Seite gestellt wird, sondern die Priorität hat und  die Anerkennung bekommt, die diesem System in hochentwickelten Industriegesellschaften zukommt. (",0
2670,Hört! Hört!,DIE LINKE,Tobias Pflüger,AfD,Gerold Otten,2017-11-21,145817,"d ebenfalls unsere Polizisten ausgesetzt sind, befürworten wir als AfD-Fraktion aus den vorgenannten Gründen die fortgesetzte Präsenz der Militärbeobachter und -ausbilder der Bundeswehr bei UNMISS und stimmen der Verlängerung bzw. jetzt erst einmal Überweisung des Antrags in den Hauptausschuss zu. (",0
2671,Ist das Wahlkampf?,SPD,Josef Vosen,CDU/CSU,Dr. Heinz Riesenhuber,1992-02-21,5551,"Forschungsmittel von 22,8 % und im institutionellen Bereich von 27 % gegenüber. Das ist  Ausweis für eine blühende, kraftvolle und dynamische Forschungslandschaft, die auch durch eine hervorragende Zusammenarbeit der Landesregierung  mit der Forschung gekennzeichnet ist.  (Beifall bei der CDU/CSU — ",0
2672,"Das war auch nicht aus dem Publikum, sondern aus dem Plenum!",CDU/CSU,Volker Kauder,GRÜNE,Jürgen Trittin,2008-12-04,90722," das gerne aufnehmen.  (Dr. Guido Westerwelle [FDP]: Nein, das waren wir nicht!) – Ich habe Sie nicht gemeint, Herr Westerwelle. (Dr. Guido Westerwelle [FDP]: Aber Sie haben auf mich gezeigt!) – Das war weiter hinten. Entschuldigen Sie, ich weiß, dass Sie ein Mensch gepflegter Umgangsformen sind.  (",0
2673,So ist es!,CDU/CSU,Dr. Hans-Peter Uhl,CDU/CSU,Dr. Norbert Röttgen,2009-05-29,94304,"der CDU/CSU sowie des Abg. Dr. Max Stadler [FDP]) Das ist auch richtig so, weil es darum geht, die Instrumente und Regeln der parlamentarischen Kontrolle, denen wir die Bundesregierung unterwerfen wollen, selber festzulegen. Man kann nicht erwarten, dass die Regierung ihre Kontrolle selber regelt. (",2
2674,Sie wollen das Betreuungsgeld!,CDU/CSU,Johannes Singhammer,SPD,Marlene Rupprecht,2008-09-26,89571," Kinder von ein bis drei Jahren nicht in Einrichtungen betreuen lassen wollen oder können, eine monatliche Zahlung (zum Beispiel Betreuungsgeld) eingeführt werden.  Ich habe Ihnen schon öfter gesagt, Herr Singhammer, dass die Eltern entscheiden werden, wenn der übernächste Bundestag gewählt wird.  (",0
2675,Aber nicht im  Forderungsteil!,SPD,Gabriele Hiller-Ohm,CDU/CSU,Julius Caesar,2004-09-30,68110,"ion enttäuscht, dass Sie dann nicht in der Lage waren, unserem Antrag tatsächlich zu folgen und zuzustimmen. Ich meine, man sollte bei diesem Thema über Parteigrenzen und über Fraktionsgrenzen hinwegschauen, um den Urwald zu schützen und zu erhalten. In Ihrem Antrag finden wir sehr viel Eigenlob.  (",0
2676,Genau so ist es!,DIE LINKE,Dr. Dagmar Enkelmann,DIE LINKE,Dr. Gregor Gysi,2013-03-01,119731,"ro verdient  haben, um das Grundsicherungsniveau von 707 Euro zu  erreichen. Wenn er nur 35 Beitragsjahre hat, dann  müsste er durchschnittlich 13 Euro pro Stunde verdient  haben. Schauen Sie sich doch einmal die Realität in unserer Gesellschaft an! Wir laufen auf eine dramatische  Altersarmut zu. (",2
2677,Warum  müssen nur wir dafür sorgen? Das müssen  auch Sie!,CDU/CSU,Gerhard Reddemann,SPD,Christel Hanewinckel,1991-06-13,1633,"e Erhöhung der Arbeitslosenzahlen, setzen Sie auf den Weggang von Familien aus den neuen Bundesländern in  die alten. Ich will Ihnen all das nicht unterstellen, aber  dann müssen Sie auch Ihre Politik ändern und daran  ausrichten, daß die Geburtenzahlen steigen, daß Arbeitslosigkeit geringer wird  (",1
2678,"„Low Level“ nennt man das! Auch sachlich falsch, Herr Baumann!",GRÜNE,Luise Amtsberg,AfD,Dr. Bernd Baumann,2018-10-11,152163," auch Deutschlands Mangel an Fachkräften durch bessere Ausbildung und Technik ausgleichen. Aber das verstehen scheinbar nicht alle, am wenigsten die Grünen. Kein Wunder, da hat noch nicht mal die Fraktionsvorsitzende einen Abschluss geschafft. Nicht wahr, Frau Göring-Eckardt? (Beifall bei der AfD – ",0
2679,Dann hast du den Einzelplan 10  nicht gelesen!,CDU/CSU,von Hammerstein,SPD,Horst Sielaff,1993-09-09,14138,"mittelfristigen Finanzplanung  reagiert die Bundesregierung in keiner Weise auf die  geänderten Rahmenbedingungen, weder in bezug  auf die Gesamtwirtschaft noch in bezug auf den  Agrarbereich, und die Hilflosigkeit des Agrarministers war bei seinem Beitrag ja durchaus hörbar.  (Carl-Detlev Freiherr ",0
2680,Sehr  deprimierend!,DIE LINKE,Oskar Lafontaine,CDU/CSU,Franz Romer,2008-04-24,87108,"riebsratsvorsitzender. (Beifall bei der CDU/CSU – Dr. Ralf Brauksiepe [CDU/CSU], zur LINKEN gewandt: Hört euch das mal an!) Es kommt aber darauf an, bei der Wahrung realistischer Arbeitnehmerrechte die positive Entwicklung von Un-ternehmen und die Sicherung von Arbeitsplätzen nicht einzuschränken. (",1
2681,Sowieso!,CDU/CSU,Dr. Kurt Faltlhauser,SPD,Ingrid Matthäus-Maier,1994-06-23,20258,"r unehrlichen, ungerechten, unsoliden, familienfeindlichen und verfassungswidrigen  Steuerpolitik unser Konzept entgegen.  (Dietrich Austermann [CDU/CSU]: Jetzt  kommt es aber!)  Erstens. 250 DM Kindergeld vom ersten Kind an.  Zweitens. Das Existenzminimum muß endlich  steuerfrei gestellt werden.  (",2
2682,Eine Katastrophe!,CDU/CSU,Siegfried Hornung,GRÜNE,Joseph Fischer,1999-03-18,42252,"tverträglichkeit ausgerichtet werden. Für uns ist insbesondere wichtig, daß die Interessen der deutschen Bauern in Ost und West gewahrt bleiben. Das ist beim Kompromiß des Agrarrats vom 11. März der Fall. (Beifall bei Abgeordneten der SPD – Zuruf von der CDU/CSU: Genau das Gegenteil ist der Fall! – ",1
2683,Was?,SPD,<unknown>,CDU/CSU,Albert Rupprecht,2010-11-25,102567,"forschung, und heute wollen Sie sich am liebsten von ITER verabschieden. Gestern waren Sie noch voller Begeisterung für die Nanotechnologie, und heute reden Sie nur noch über die Risiken. (Klaus Hagemann [SPD]: Wo steht das denn?) – In Ihren Dokumenten und Anfragen zur Nanotechnologie, mit Verlaub. ",0
2684,"Sie müssen noch zur Schule gehen, oder?",FDP,Thomas Sattelberger,AfD,Norbert Kleinwächter,2020-11-19,171480,en. (Heiterkeit bei der AfD) Vielmehr müssen wir die Infrastruktur ausbauen und die Rahmenbedingungen schaffen für eine optimale Grundlagenforschung an den Universitäten und eine Spitzenentwicklung in Unternehmen. Das wäre der richtige Ansatz. Haben Sie vielen Dank. (Beifall bei der AfD – Dr. h. c. ,1
2685,Ja!,DIE LINKE,Matthias W. Birkwald,GRÜNE,Dr. Wolfgang Strengmann-Kuhn,2023-06-21,194101," wir vor über zehn Jahren auch schon die Abschaffung des Umwertungsfaktors beantragt, weil wir eben gesagt haben: Bei gleichem Einkommen soll es auch den gleichen Rentenanspruch geben. Ich stelle fest: Die Linke will die Trennung zwischen Ost und West bei der Rente sogar noch bis 2030 beibehalten. (",0
2686,Zum Beispiel in Bayern!,SPD,<unknown>,GRÜNE,Grietje Bettin,2003-10-23,63337,eitung auf die Studien- bzw. Berufswahl. Unser Bildungssystem muss auch für Begabte ohne Abitur durchlässiger werden.  (Beifall beim GRÜNE  und bei der SPD) Warum soll der talentierte Krankenpfleger von seiner Oberärztin nicht zum Auswahlverfahren für ein Medizinstudium vorgeschlagen werden können? ,0
2687,"Machen wir aber nicht! Wir sprechen über Sie, nicht über andere Länder! Er dreht sich im Grabe um, wenn er Sie reden hört! So ein Blödsinn!",AfD,Dr. Bernd Baumann,SPD,Helge Lindh,2023-05-12,192964,"ber wie passt das dazu, dass Sie doch regelmäßig – übrigens mir auch – vorwerfen, man solle sich orientieren an Ihrem von Ihnen instrumentalisierten vermeintlichen Idol Helmut Schmidt? Denn dieser Helmut Schmidt hat uns immer gelehrt, nicht belehrend-paternalistisch über andere Länder zu sprechen. (",1
2688,Ein Trittbrettfahrer!,CDU/CSU,de Vries,DIE LINKE,Ulla Jelpke,2019-06-27,159566,"rmanent Migration mit Kriminalität vermischt. (Beifall bei der LINKEN sowie bei Abgeordneten der SPD und des GRÜNE) Was mich sehr gewundert hat, Herr Kollege Kuhle, ist, dass die FDP mit ihrem Antrag auf diesen Zug aufgesprungen ist. (Konstantin Kuhle [FDP]: Der ist ja sehr viel besser! – Christoph ",1
2689,"Nein, das haben Sie nicht! Sie haben eine Kürzung der Zuschüsse durch die Änderung bei der Arbeitslosenhilfe bewirkt!",CDU/CSU,Bartholomäus Kalb,GRÜNE,Oswald Metzger,2001-03-15,52229,er zurückzuführen sei. (Birgit Schnieber-Jastram [CDU/CSU]: Das hat er nicht gesagt! – Dietrich Austermann [CDU/ CSU]: Nein!) – Doch. Ich bleibe dabei: Wir haben mit den Einnahmen durch die Ökosteuer den Zuschuss an die Rentenversicherung erhöht und dadurch die Rentenversicherungsbeiträge gesenkt. (,1
2690,Sie mißbrauchen die  Geschäftsordnung,FDP,<unknown>,GRÜNE,Dr. Wolfgang Ullmann,1993-01-21,10566," und nicht endende Demons trationen  und Privatinitiativen darauf warten,  (Zuruf von der FDP: Reden Sie einmal zur  Geschäftsordnung!)  von der Regierung zu hören, wie diese Rechte gesichert werden sollen, haben eine andere Antwort  verdient als die der Politikverweigerung, die von hier  ausgeht.  ",1
2691,Es war umgekehrt!,CDU/CSU,von Klaeden,FDP,Dr. Guido Westerwelle,2005-09-07,72743,"DU/CSU]: Die vorletzte  Rede also!) wörtlich gesagt hat.  (Hartmut Schauerte [CDU/CSU]: Interessant!) Da hat der Bundeskanzler gesagt – das haben wir auch gesehen; bemerkenswert; stehende Ovationen für den Bundeskanzler: Die ersten drei Reihen der Grünen standen auf, der Rest blieb sitzen;  (Eckart ",1
2692,"Ich dachte, es geht um die  Wettbewerbsfähigkeit! Herr Stier hat doch von  Wettbewerbsfähigkeit gesprochen!",GRÜNE,Jürgen Trittin,FDP,Hans-Michael Goldmann,2012-12-13,118163," NEULAND praktiziert sie schon jetzt, aber NEULAND hat einen verschwindend geringen Marktanteil, weil der Verbraucher zum Teil nicht bereit ist, den  Preis zu zahlen, der notwendig ist. (Alexander Süßmair [DIE LINKE]: Ach!) – Ja, das stimmt doch. (Beifall bei Abgeordneten der FDP und der  CDU/CSU – ",0
2693,Es könnte ruhig ein bisschen mehr sein!,GRÜNE,Oliver Krischer,CDU/CSU,Hansjörg Durz,2015-10-15,134452,"eutlich stärker in den Fokus gerückt. Fördern und Fordern, Kommunikation und Beratung – mit dem NAPE verfügen wir über einen Maßnahmenkatalog, mit dem wir die von uns gesteckten Ziele im Bereich des Klimaschutzes erreichen. (Dr. Julia Verlinden [GRÜNE]: Nein! Damit allein erreichen Sie sie nicht! – ",0
2694,Von welcher Blockade  reden Sie denn jetzt?,SPD,Jörg Tauss,FDP,Dr. Karlheinz Guttmacher,1997-02-28,34104,"eis werten. Tatsächlich aber sinkt die Gefördertenquote kontinuierlich, weil die im Blockadespiel zwischen Bundestag und dem Bundesrat immer  wieder verschleppten Anpassungen die Höhe der  Freibeträge und Bedarfssätze von der tatsächlichen  Entwicklung der Lebenshaltungskosten abgekoppelt  haben.  (",0
2695,Über die Länder!,SPD,Joachim Stünker,CDU/CSU,Heinz Seiffert,2001-11-30,55464,"gnahme zu geben. Auch bei diesem Gespräch ist deutlich geworden, dass die Regierung die Kommunen in eine äußerst dramatische Finanzsituation gebracht hat. (Joachim Stünker [SPD]: Na, na, das war wohl anders!) Es wurde berichtet, dass das Präsidium des Deutschen Städtetages „in seiner Verzweiflung“ (",0
2696,Das bekenne ich!,FDP,Jürgen Koppelin,GRÜNE,Angelika Beer,2001-11-28,55352,"Herr Kollege Koppelin, das Erste: Ihre merkwürdige Einlassung hat gezeigt, dass Sie meine Rede in der Tat nicht verstanden haben.  (Lachen bei der CDU/CSU und der FDP – ",0
2697,"Das darf ja nicht wahr sein! Das war ja etwas ganz Fundamentales, was Sie jetzt gesagt haben!",SPD,Wolfgang Weiermann,FDP,Rainer Funke,2001-10-18,54726,ungen zum Beispiel über Postagenturen besser  häufig den ganzen Tag über; ich denke etwa an Postagenturen in Lebensmittelgeschäften oder an sonstige Verkaufseinrichtungen der Privatwirtschaft  anbieten kann. Postdienstleistungen sollen dem Verbraucher nutzen und nicht etwa der Postgewerkschaft.  (,1
2698,Das ist aber ein Rückschluss!,FDP,Otto Fricke,SPD,Bärbel Bas,2012-02-09,111745,"hnet wird. Hierauf haben wir von der Bundesregierung damals keine Reaktion gehört. Wenn die Kritik also so stehen bleibt, dann kann man davon ausgehen, dass Sie die Organisation und die Strukturen des deutschen Gesundheitsschutzes und der Lebensmittelsicherheit ebenfalls als ineffizient betrachten.(",1
2699,Falsch!,SPD,Jörg Tauss,CDU/CSU,Ernst Hinsken,2001-03-15,52212,"wonnen! – Weitere Zurufe von der SPD)  Sie lösen Ihr Versprechen durch moderne Folterinstrumente ein: (Jörg Tauss [SPD]: Steuerreform!) Erstens. Das 630-DM-Gesetz hat sich als reiner Kostentreiber, als Bürokratiemonster, als Arbeitsplatzvernichter und Konjunkturprogramm für Schwarzarbeit entpuppt. (",1
2700,"Also, Humor haben Sie!",GRÜNE,Kai Gehring,CDU/CSU,Dr. Heinz Riesenhuber,2015-12-17,135834,"nka, ich bin mit Ihrer Aussage uneingeschränkt einverstanden: Das gelingt nur, wenn es in eine solide Gesamtstrategie eingebettet ist – eine der Stärken dieser vorzüglichen Koalition, die wir alle bewundern. (Heiterkeit und Beifall bei der CDU/CSU und der SPD – Lachen bei der LINKEN und dem GRÜNE – ",0
2701,Sie sind immer noch zu fünft!,CDU/CSU,Alexander Hoffmann,DIE LINKE,Niema Movassat,2019-12-12,163109,"r Lage ist, (Alexander Hoffmann [CDU/CSU]: Mit voller Wucht! Sie sind zu fünft!) über vom Plenum überwiesene Gesetzentwürfe abzustimmen, dann muss das Plenum eine Entscheidung darüber treffen, bis wann der Rechtsausschuss endlich abzustimmen hat. Der 31. Januar nächsten Jahres ist ein gutes Datum, (",0
2702,Sehr wahr!,SPD,Joachim Poß,SPD,Dr. Frank-Walter Steinmeier,2011-05-12,106016,"n Sie aufgefordert, die Einführung einer europäischen Finanztransaktionsteuer kategorisch abzulehnen. Ich sage Ihnen: Sie gehen hier einen gefährlichen Weg. Wenn es ein Thema gibt, das sich aus meiner, aus unserer Sicht für Populismus nicht eignet, und bisher war das unsere gemeinsame Überzeugung, (",2
2703,Der Vorschlag der Linken zum Informationsfreiheitsgesetz war einfach schlecht!,CDU/CSU,Dr. Volker Ullrich,GRÜNE,Britta Haßelmann,2016-06-10,138859," verweisen. Seitdem haben wir doch ganz andere Transparenzanforderungen, sowohl an die deutsche Gesetzgebung als auch an das Parlament und an die Bundesregierung. Denken Sie nur an das Informationsfreiheitsgesetz. Warum bauen Sie hier einen solchen Popanz auch im Hinblick auf das freie Mandat auf? (",1
2704,In Bayern?,SPD,Marianne Schieder,CDU/CSU,Susanne Hierl,2023-10-12,196764," damit beginnen würde, die versprochenen 400 000 Wohnungen pro Jahr zu bauen. (Beifall bei der CDU/CSU – Marianne Schieder [SPD]: Der Herr Söder kann das auch mal in Bayern machen! – Gegenruf des Abg. Carsten Müller [Braunschweig] [CDU/CSU]: Die schaffen das aber in vier Jahren! – Gegenruf der Abg. ",0
2705,"Das weiß ich auch nicht, wie man darauf gekommen ist! Meine Güte!",GRÜNE,Sara Nanni,AfD,Dr. Michael Espendiller,2022-09-07,185029,"um mitten in Europa“ bezeichnet. Was ich mich nun frage, ist, wie um alles in der Welt eine Regierung vor diesem Hintergrund auf die Idee kommen konnte, genau das Land, von dem man in puncto Energielieferungen abhängig ist, mit Sanktionen zu überziehen und Waffen an seinen Kriegsgegner zu liefern. (",1
2706,"Seien Sie mal ganz vorsichtig, Herr Kollege!",FDP,Dirk Niebel,SPD,Florian Pronold,2004-06-16,67026,"ller – offensichtlich weiterhin der Ermöglichung von Wirtschaftskriminalität und Geldwäsche im internationalen Rahmen. Der Kollege Spiller hat davon gesprochen, dass Friedrich Naumann hohes Ansehen genießt. Der Kollege von der FDP hat das hohe Ansehen auf die Friedrich-Naumann-Stiftung übertragen. (",1
2707,Woher kommt denn die Angst?,AfD,Dr. Götz Frömming,SPD,Jan Plobner,2023-06-22,194277,"haben Angst in diesem Land, weil Menschenfeindlichkeit einen festen Platz in dieser Gesellschaft hat. Als demokratische Gesellschaft haben wir aber ein schwerwiegendes Problem, wenn bestimmte Gruppen aus schlichter Angst nicht mehr am Diskurs und am öffentlichen Leben teilnehmen wollen und können, (",0
2708,Ein Unding!,CDU/CSU,Michaela Noll,DIE LINKE,Christine Buchholz,2016-04-28,137790," Quartal brachen darüber hinaus zwischen einem Viertel und einem Drittel der Freiwilligen ihren Dienst ab. Das Ministerium sagt: „Mach, was wirklich zählt.“ Damit möchte die Ministerin junge Leute in die Bundeswehr locken. Ein besserer Rat wäre: Lasst euch nicht verheizen. (Beifall bei der LINKEN – ",1
2709,Doch!,SPD,Peter Dreßen,FDP,Dr. Heinrich L. Kolb,1999-11-12,45448," des Abg. Wolfgang Zöller [CDU/CSU]) Warum, Herr Dreßen, geben Sie keine Wahlfreiheit auf Dauer, wie auch von den Experten vorgeschlagen, zwischen gesetzlicher Rentenversicherung und privater Altersvorsorge? Ich kann Ihnen sagen warum. Es geht Ihnen letztlich nicht um die Absicherung der Menschen, (",0
2710,Wir schaffen Sie zum 1. Januar wieder ab!,CDU/CSU,Max Straubinger,SPD,Waltraud Wolff,2002-06-27,58355,"zen können! Oder haben Sie vielleicht auch hier – wie bei der Ökosteuer – vor, unsere Politik fortzusetzen? Jede sich bietende  Gelegenheit haben Sie genutzt, um uns bei der Durchsetzung der Ökosteuer zu torpedieren. Aber jetzt, im Wahlkampf, geben Sie zu, dass Sie die Ökosteuer übernehmen wollen. (",0
2711,Natürlich!,FDP,Dr. Heinrich L. Kolb,CDU/CSU,Max Straubinger,2006-01-26,73560,"zt.  (Beifall bei der CDU/CSU und der SPD) Wenn die Kollegen von der FDP das am 18. Januar von den Mittelständlern in unserem Land noch nicht erfahren haben, dann tut es mir Leid. Ich habe mich erst heute wieder informiert. Natürlich ist es eine Beschwernis und mit zusätzlichem Aufwand verbunden.  (",2
2712,Falsch!,GRÜNE,Steffi Lemke,CDU/CSU,Peter Weiß,2014-01-30,124118,"keit sorgt – sie sorgt auch für Generationengerechtigkeit –, und zur abschlagsfreien Rente nach 45 Beitragsjahren mit 63 gesagt worden. Was mich an der öffentlichen Debatte und auch an der Kritik der Opposition wundert: Alle Maßnahmen dieses Rentenpakets standen genau so im Wahlprogramm der Union  (",1
2713,Natürlich ist das angemessen!,FDP,Markus Löning,GRÜNE,Thilo Hoppe,2005-04-14,71471,"g, aus denen hervorgeht, dass dieser Weg, den sich auch IWF- Chef Rato vorstellen kann, begrüßt wird; man will ihn positiv gehen. Ein kleiner Schlenker zur Bundesbank ist an dieser Stelle angebracht. Es ist nicht angemessen, dass sich die Bundesbank explizit gegen einen solchen Schritt ausspricht, (",0
2714,Ach?,GRÜNE,Kerstin Andreae,CDU/CSU,Dr. Philipp Murmann,2016-09-29,140414,"SPD – Lothar Binding [Heidelberg] [SPD]: Nicht einführen!) Fazit: FuE-Förderung ist der wichtigste Standortfaktor Deutschlands. Die Projektförderung ist ein sehr erfolgreiches Instrument, das uns zu diesem Erfolg verholfen hat. Die steuerliche FuE-Förderung hat viele Fans – ich gehöre auch dazu –; (",0
2715,Genau so!,CDU/CSU,Sepp Müller,SPD,Fabian Funke,2023-10-19,197226,", dass der durchschnittliche Bruttovollzeitlohn in Ostdeutschland gut 600 Euro unter dem westdeutschen liegt und dass in harten Zeiten eher die Kolleginnen und Kollegen in den Niederlassungen in Ostdeutschland entlassen werden (Sepp Müller [CDU/CSU]: Ja!) als in den westdeutschen Konzernzentralen. (",2
2716,Das will doch jeder!,CDU/CSU,Dr. Peter Paziorek,SPD,Friedrich Bollmann,2003-02-20,60433,"inkgeld freikaufen. (Werner Wittlich [CDU/CSU]: Es ist unerhört, was Sie für einen Käse hier verzapfen! Es ist nicht zu glauben! Blödsinniger geht es wirklich nicht!) Sinnvolle Umweltpolitik sieht anders aus. Wir Sozialdemokraten treten dafür ein, Landschaftsvermüllung von vornherein zu vermeiden. (",0
2717,Davon steht aber  nichts im Gesetz!,SPD,Mechthild Rawert,CDU/CSU,Wolfgang Zöller,2012-11-29,117636,er FDP) Nach diesem Motto haben wir im Vorfeld über 300 Gespräche geführt und einen Konsens ausgelotet. Ich erinnere mich noch an Äußerungen wie: Eine Kodifizierung  der bestehenden Rechte wird nie gelingen. Wir brauchen  kein Gesetz; eine Broschüre reicht. Wir wollen eine totale Beweislastumkehr. (,0
2718,Zu  der gehören Sie definitiv nicht!,GRÜNE,Jürgen Trittin,CDU/CSU,Philipp Mißfelder,2011-02-23,104420,"orgänge bewerten, zeigt sich, dass die Dinge anders liegen, als der Verlauf dieser Debatte es momentan widerspiegelt. (Dr. Dietmar Bartsch [DIE LINKE]: Ach so! – Weiterer Zuruf des Abg. Omid Nouripour [GRÜNE])Ich warne Sie deshalb davor, hier eine Kluft zwischen der politischen Elite dieses Landes (",0
2719,Das muss man sich bei Sozialdemokraten einmal vorstellen!,FDP,Dr. Dieter Thomae,CDU/CSU,Dr. Sabine Bergmann-Pohl,2002-03-13,56711,reten man gar nicht erst abwartet; denn am nächsten Tag berät man bereits das Arzneimittelausgabenbegrenzungsgesetz mit der umstrittenen Aut-idem-Regelung. Als Novum wird ein Ablasshandel mit der Industrie vereinbart. Es wird gefeilscht wie auf einem Basar.  (Beifall bei Abgeordneten der CDU/CSU –  ,0
2720,Sind  Sie neidisch?,CDU/CSU,Michael Grosse-Brömer,SPD,Christine Lambrecht,2010-03-18,97870," wir nicht einmal nach. Das ist Ihre Art, mit Themen umzugehen: Hü, hott! Hü, hott! Man weiß nicht mehr, wo man steht. Ich kann Ihnen nur sagen: Nehmen Sie Ihre Aufgabe endlich entsprechend verantwortungsbewusst wahr, und hören Sie auf, die Probleme in Ihrer Dreierbeziehung öffentlich auszutragen. (",1
2721,Mein Gott!,CDU/CSU,Daniela Ludwig,AfD,Dr. Dirk Spaniel,2019-09-12,160054,"aben, und nicht, wo die Umerziehungspolitiker der Grünen und Linken es gerne sehen würden. (Beifall bei der AfD) Spätestens hier wird in diesem Einzelplan klar: Es geht diesem CSU-Ministerium um Anbiederung an den links-grünen Mainstream. (Lachen bei der CDU/CSU, der SPD, der LINKEN und dem GRÜNE – ",0
2722,Wer regiert denn seit Jahren?,GRÜNE,Oliver Krischer,CDU/CSU,Dr. Carsten Linnemann,2018-09-13,151368,"der Bevölkerung. Wir möchten eine glasklare Synchronisierung des Ausbaus der erneuerbaren Energien mit dem Netz. (Beifall bei Abgeordneten der CDU/CSU – Katharina Dröge [GRÜNE]: Dann bauen Sie mal die Netze aus!) 1,6 bis 1,7 Milliarden Euro für Redispatch-Netzeinspeisemanagement usw. sind zu viel. (",0
2723,Die Rente Weg versuchen Sie immer einzelne Bruchstücke in die  wird ja auch nicht besser!,FDP,Dr. Wolfgang Gerhardt,FDP,Walter Hirche,2000-03-23,47275,"r eine Abzockerei ist und nicht das geeignete In- damit dazu beitragen, dass diese Erde eine friedliche  strument, um in dieser Sache weiterzukommen.  Zukunft hat und sich nicht in Streitigkeiten erschöpft.   (Beifall bei der FDP und der CDU/CSU – Sie sind auf dem falschen Weg. Für diesen falschen  ",0
2724,Genau da sind sie jetzt trotzdem!,GRÜNE,von Neuforn,SPD,Dr. Michael Bürsch,2009-05-13,93853,"iss, um vertrauensbildend zu wirken; denn ich halte nichts von einem Gesetz, das die Verwaltung auf einen anderen Dampfer bringt, das einen Paradigmenwechsel bringt, das von der Verwaltung als ausgesprochen störend und lästig empfunden wird und das zu einer Verweigerungshaltung führt. (Silke Stokar ",0
