,comment_text,comment_party,comment_name,interrupted_speaker_party,interrupted_speaker,date,speech_id,preceding_context
187415,Aber gleiches Recht für  alle!,SPD,Sönke Rix,CDU/CSU,Stephan Mayer,2008-02-15,85829,"Verehrte Frau Kollegin Dağdelen, zunächst möchte ich festhalten: Deutschland ist nicht das Haupteinreiseland für Bürger aus Nicaragua.  ("
368923,Möchtegernpräsident!,GRÜNE,Harald Ebner,AfD,Karsten Hilse,2020-05-07,166451," lächerlich machte, als er behauptete, dass sich die Inkubationszeit bei einer Infizierung mit dem Coronavirus alle zwei Tage verdoppelt. Er glänzt also wie der Rest der Umweltzerstörer nicht nur in Fragen des Klimas und der Ursachen für Klimaveränderungen mit ideologisch motivierter Unwissenheit. ("
421759,"Es ist mittlerweile erwiesen, dass das falsch ist!",AfD,Norbert Kleinwächter,SPD,Mehmet Ali,2023-03-03,190649," ist. Aber das alles ignorieren Sie. Es geht letztendlich auch darum, (Carolin Bachmann [AfD]: Sie ignorieren den freien Willen der Bewohner!) dass 2028 – das war von vornherein der Plan gewesen – dieser Wohnblock abgerissen werden kann. Man hat es aufgrund der hohen Baukosten erst hinausgezögert, ("
183685,"Nein, die  Bereicherung der Reichen!",DIE LINKE,Oskar Lafontaine,CDU/CSU,Dr. Günter Krings,2007-11-16,84304," Offenbar sehen Sie und einige andere das inzwischen wieder anders. Das spricht für die Geschichtsvergessenheit Ihrer Partei. Sie erinnern sich nicht einmal mehr daran, was von Ihnen vor einem Jahr gesagt worden ist.  Soziale Marktwirtschaft bedeutet in unserer Gesellschaft: Schutz der Schwachen.  ("
350150,Das machen wir auch!,SPD,Bärbel Bas,DIE LINKE,Ulla Jelpke,2019-05-09,158209,"eraterinnen und Berater schätzen die Situation so ein, dass die Aufhebung der Wohnsitzverpflichtung oft nicht genehmigt wird. Das muss sich ändern, meine Damen und Herren. Das hätte man im Rahmen eines solchen Gesetzes evaluieren können. (Beifall bei der LINKEN sowie der Abg. Ulle Schauws [GRÜNE] – "
256205,Richtig!,DIE LINKE,Christine Buchholz,DIE LINKE,Ulrich Maurer,2012-05-25,114373," Horrorszenario gemalt. Natürlich  kann man auch Gerichte beeindrucken und zu falschen  Entscheidungen führen. Sie haben es sogar geschafft, ein  Informationszelt unserer Fraktion, in dem wir über unsere politischen Vorschläge zur Bewältigung der Finanzmarktkrise informieren wollten, zu verbieten. ("
270093,FDP!,DIE LINKE,<unknown>,SPD,Gabriele Groneberg,2013-03-21,120231,"stellen, wie es sich mit den ganzen Ausnahmeregelungen verhält? Bis dahin ist es noch lange hin. Im Zweifelsfall werden Sie nicht mehr regieren. Das es nicht hilft, wenn wir Ihnen dies vorhalten, zitiere ich aus der Rede von Sven Morlok, Staatsminister  in Sachsen, nicht unserer Fraktion zugehörig, "
416927,"Das war jetzt aber „Thema verfehlt“, Kollegin!",CDU/CSU,Nina Warken,DIE LINKE,Gökay Akbulut,2023-01-18,189076,"ndliche, die hier geboren und hier aufgewachsen sind. Und wenn hier jemand abgeschoben werden sollte, dann bitte die AfD-Fraktion, damit wir auch wirklich an den wichtigen Themen arbeiten können. Vielen Dank. (Beifall bei der LINKEN sowie bei Abgeordneten der SPD und der Abg. Canan Bayram [GRÜNE] – "
241043,„Kritisch“  ist noch viel zu optimistisch!,DIE LINKE,Dr. Dietmar Bartsch,CDU/CSU,Dr. Wolfgang Schäuble,2011-09-09,108075,ushaltsdebatte zum Treffen der Finanzminister und Notenbankgouverneure der G-7-Staaten in Marseille fahre. Wir werden schwierige Debatten führen. Sie alle haben die Rede des amerikanischen Präsidenten heute Nacht zur Kenntnis genommen. Wir befinden uns an einem kritischen Punkt der Weltkonjunktur. (
30034,So etwas  Dummes habe ich hier selten gehört!,CDU/CSU,Otto Regenspurger,DIE LINKE,Dr. Ilja Seifert,1994-04-21,18921,"  sind, nicht Behinderte, die u. a. Menschen sind. Das ist  ein gewaltiger Unterschied.  Der Dritte Bericht zur Lage der Behinderten in der  Bundesrepublik Deutschland — ich würde mich freuen, wenn der Herr Kollege Regenspurger auch  etwas sagen würde; aber er darf hier ja offenbar nicht  reden —  ("
454783,Horst Seehofer hat immer über den C64 gesprochen!,SPD,Dr. Jens Zimmermann,CDU/CSU,Nadine Schön,2024-02-23,200937,"rmann [FDP]) Seitdem hält man beim Thema „Staatsmodernisierung und Verwaltungsdigitalisierung“ einen Dornröschenschlaf. Deshalb hat es auch zweieinhalb Jahre gedauert, bis wir dieses wichtige und entscheidende Gesetz endlich im Parlament hatten. Das ist deutlich zu lange. (Beifall bei der CDU/CSU – "
271112,Haben  wir etwa das Zugangserschwerungsgesetz verantwortet?,CDU/CSU,Thomas Jarzombek,SPD,Brigitte Zypries,2013-04-18,120589,"h. (Beifall bei der SPD sowie bei Abgeordneten  des GRÜNE –  Michael Kretschmer [CDU/CSU]: Wir können  nichts dafür, dass die SPD nicht so lernfähig  ist!) – Die SPD hat es vielleicht nicht so nötig; das kann man  an verschiedenen anderen Dingen sehen. (Zuruf von der CDU/CSU: Das ist dünnes  Eis! – "
59747,Sehr  bedenkenswert!,SPD,Heidemarie Wieczorek-Zeul,GRÜNE,Joseph Fischer,1998-04-02,38955,"er geschrieben hat, in  dem er für eine Verschiebung der Europäischen Wirtschafts- und Währungsunion plädiert: Kurt Biedenkopf. Ich gehe deswegen auf ihn ein, weil ich die Argumente, die er in sechs Punkten zusammenfaßt -  ich komme zu völlig anderen Konsequenzen -, für  sehr bedenkenswert halte.  ("
101326,Seien Sie doch nicht so gnädig!,CDU/CSU,Norbert Geis,SPD,Dr. Herta Däubler-Gmelin,2001-11-27,55284,"nen, Herr Feibel, noch einmal zu zwei Dingen, die Sie erwähnt haben, etwas sagen: Ich habe schon gemerkt, dass es keine richtige Kritik war, die Sie vorgebracht haben, sondern Sie jetzt etwas in den Raum stellen mussten.  (Lachen bei der CDU/CSU) – Ja, natürlich. (Beifall bei Abgeordneten der SPD – "
94337,Das stimmt doch nicht! Das ist blanker Unsinn!,SPD,Sabine Kaspereit,CDU/CSU,Dr. Michael Luther,2001-05-17,52989,"en im Rahmen des Solidarpaktes abgestimmt – Bernhard Vogel hat gesagt: „ausgekungelt“ – hat, die den aufgestellten Forderungen der Wirtschaftsinstitute nicht mehr entsprechen, ist ein wichtiges und positives Signal wieder einmal ins Negative verkehrt worden.  (Beifall bei Abgeordneten der CDU/CSU – "
132396,Allen voran die FDP!,GRÜNE,Michaele Hustedt,GRÜNE,Winfried Hermann,2003-11-27,64098,"n Koalitionsfraktionen unterstützt, aber im Bundesrat schwer bekämpft.  (Elke Ferner [SPD]: So ist das!) Die Bundesländer als Eigner von Flughäfen haben uns signalisiert, dass sie da nicht mitmachen, da das zu viel koste usw. Genau dieselben Argumente, die ich vorhin angeführt habe, sind gekommen. ("
72525,"Was das den EuGH angeht, frage ich mich!",CDU/CSU,Dr. Gerd Müller,FDP,Friedrich Nolting,1999-10-28,44875,". (Beifall bei der FDP sowie der Abg. Angelika Volquartz [CDU/CSU]) Die Frau hatte sich für den Dienst in den Streitkräften beworben, wurde aber nur wegen ihres Geschlechts abgelehnt. (Dirk Niebel [FDP]: Skandalös!) Im Frühjahr wird die Entscheidung des EuGH im Fall der deutschen Klägerin gefällt. ("
457403,Na ja! Na ja!,CDU/CSU,Dr. Jan-Marco Luczak,FDP,Daniel Föst,2024-03-22,201794," (Zuruf der Abg. Christina-Johanne Schröder [GRÜNE]) Und wissen Sie, wer es verhindert? Die Bundesländer, genauso wie sie auch die Sonder-AfA verhindert haben. Das ist tatsächlich eine weitere Geiselhaft, die Sie überwinden müssen. (Beifall bei der FDP sowie bei Abgeordneten der SPD und des GRÜNE – "
319961,Es ist die Umweltministerin! Vorsicht!,SPD,Ulli Nissen,CDU/CSU,Carsten Müller,2017-04-27,144012," Behrens [DIE LINKE]: Aber gesundheitsschädlich ist es schon! Gehen Sie da mit?) Es hilft in einer Diskussion, die man sehr sachlich führen soll, die Dinge in einen Rahmen einzuordnen. (Oliver Krischer [GRÜNE]: Warum tut denn der Umweltminister dann so viel, wenn es so klar ist? – Gegenruf der Abg. "
140455,Das war überflüssig!,GRÜNE,Philip Winkler,CDU/CSU,Bernhard Kaster,2004-06-17,67086,"eißt nichts anderes, als dass Sie, wenn eine Vergabe nicht nach Ausschreibung erfolgt, natürlich nicht die Möglichkeit haben, einen Schaden anhand einer Vergleichsberechnung festzustellen. Das wollte ich der Vollständigkeit halber hier noch gesagt haben. (Beifall bei der CDU/CSU und der FDP – Josef "
172626,Hätten Sie doch gesagt:  eine Kate!,SPD,Joachim Poß,FDP,Otto Fricke,2006-11-24,78503,"er FDP sowie der Abg. Anja Hajduk  [GRÜNE]) Der Haushalt der Bundesrepublik Deutschland wirkt in dieser großen Koalition ein wenig wie ein altes Haus. Es hat ein schwarzes undichtes Dach, etwas mürbe rote Backsteine und es zieht. Die Leitungen sind undicht und die Elektrik funktioniert nicht mehr. ("
206675,Welches Geld denn?,SPD,<unknown>,FDP,Patrick Meinhardt,2009-11-11,95601,ig. Für uns sind berufliche und akademische Ausbildung gleichwertig. (Beifall bei der FDP und der CDU/CSU sowie  bei Abgeordneten der SPD) Für den Wettbewerb um die beste Bildung muss auch mutig Geld in die Hand genommen werden. (Krista Sager [GRÜNE]: Das Geld haben Sie doch gerade erst verstreut! –
185299,"Ja, genau!",SPD,Andrea Nahles,SPD,Anette Kramme,2007-12-14,84930,"Wir wissen, dass in dieser Branche die Löhne in Westdeutschland momentan um 40 Prozent und in Ostdeutschland um 50 Prozent unterhalb der Einstiegsgehälter bei der Deutschen Post liegen. (Andrea Nahles [SPD]: Jawohl!) Wir wissen, dass dort in skandalöser Weise Minijobverhältnisse ausgenutzt werden. ("
450029,"Sie wollen doch die ganzen Kameradinnen und Kameraden abschieben lassen, deportieren lassen, wenn sie einen Migrationshintergrund haben!",GRÜNE,Sara Nanni,AfD,Hannes Gnauck,2024-01-17,199641,"Meine Damen und Herren! Die Bundeswehr ist immer noch nicht in der Lage, dem Auftrag der Landes- und Bündnisverteidigung nachzukommen – das ist in aller Kürze und Härte das Fazit der Wehrbeauftragten des Deutschen Bundestages. Es fehlt weiterhin an Material. Beim Personal ist auch nichts passiert. ("
170662,Aber ich gehe noch nicht in Rente!,SPD,Jörg Tauss,SPD,Klaus Hagemann,2006-10-26,77736,".  (Beifall des Abg. René Röspel [SPD]) Er – ich spreche ihn als Symbolfigur an – (Beifall bei Abgeordneten der SPD – Zurufe  von der CDU/CSU: Oh!) hat es bei der Föderalismusreform durchgesetzt, dass uns das – im Gegensatz zum Schulbereich – im Hochschulbereich möglich ist.  (Beifall bei der SPD – "
147062,Davon merkt man aber nichts mehr!,CDU/CSU,Bartholomäus Kalb,SPD,Franz Müntefering,2004-11-24,69112,"Jahrzehnte und Jahrhunderte hinweg eine Erfahrung gemacht, die wir nicht beiseite schieben dürfen. Leute meiner Altersklasse sind noch in eine katholische oder – zwei Straßen weiter – evangelische Grundschule gegangen. (Peter H. Carstensen [Nordstrand] [CDU/ CSU]: Sie sind in die Schule gegangen? – "
219649,Ist das heute nicht der  Fall?,FDP,Otto Fricke,GRÜNE,Sven-Christian Kindler,2010-07-01,99934," in der FDP schon Stimmen gibt – ich teile ausdrücklich die Meinung der Ministerin Leutheusser-Schnarrenberger –, dass Steuerpolitik auch Umverteilung heißt, dass Steuern dazu da sind, zu steuern und Geld umzuschichten. Starke sollten stärker belastet werden, und Schwache sollten entlastet werden. ("
384117,Gähn!,DIE LINKE,Dr. Birke Bull-Bischoff,CDU/CSU,Tankred Schipanski,2021-03-04,174810,"ett gewesen!) aber im Zusammenhang mit einer sachbezogenen Rede der Ministerin verstehe ich eine solche Wortwahl auf gar keinen Fall. Schauen Sie mal in den Spiegel! Ich glaube, Sie sind die Märchentante in dieser Debatte. Oder Sie sind hier vielleicht doch noch mal als FDJ-Sekretärin aufgetreten. ("
65256,"Können Sie nicht mehr hören, nicht?",CDU/CSU,Friedrich Merz,SPD,Ingrid Matthäus-Maier,1999-02-23,41656,"Renten; Herr Merz, das sollte man hier einmal sagen. Das machen wir nicht. Aber wir passen das Bilanzrecht im steuerlichen Bereich an internationale Standards an. An dieser Stelle sagt der Kollege Merz von der Opposition immer, das sei schlecht für den Standort. Herr Merz, dieses Standortgejammere ("
202024,Sie sollen zum Antrag reden!,CDU/CSU,Ernst Hinsken,DIE LINKE,Dr. Herbert Schui,2009-03-27,93127,"Herr Schauerte, ich habe diesen Antrag nicht eingebracht, und ich habe auch nicht behauptet, dass der Mittelstand das Wirtschaftswunder geschaffen hat. (Dr. Norbert Röttgen [CDU/CSU]: Sie reden aber dazu! – "
324309,Nö!,AfD,Armin-Paulus Hampel,CDU/CSU,Dr. Hendrik Hoppenstedt,2017-12-13,146152,"ass ich den Angriff auf den Abgeordnetenkollegen Gottschalk hier verurteile und gute Genesung wünsche. (Beifall bei der AfD sowie bei Abgeordneten der CDU/CSU und der SPD) Bemerkung Nummer zwei. Der AfD-Antrag erweckt den Eindruck, dass wir es nur mit linksextremistischen Straftätern zu tun haben. ("
261753,Das ist eine Gegenrede und  keine Frage!,CDU/CSU,Volker Kauder,DIE LINKE,Jan Korte,2012-11-08,116790,"hssicherheitshauptamt, NS- Bürokratie und -Staatswesen nicht in den oberen und  zentralen Etagen der Verwaltung und der Regierung zu  finden. Das muss man doch bei einer solchen Debatte  zur Kenntnis nehmen. Es muss doch möglich sein, einen  solchen Unterschied darzulegen. (Beifall bei der LINKEN – "
264086,Gute Frau!,CDU/CSU,Ingrid Fischbach,SPD,Stefan Schwartze,2012-11-29,117599," auf den Zug aufspringen, sind die Familienministerin Schröder und Frau  von der Leyen. Frau Schröder findet das Vorhaben gut.  Sie ist der Meinung, dass es eine gute Maßnahme ist, um  dem Fachkräftemangel in diesem Land zu begegnen. Erstaunlicherweise springt auch Frau von der Leyen auf  den Zug. ("
44740,Eine Ernsthaftig,SPD,Horst Kubatschka,FDP,Dr. Karlheinz Guttmacher,1996-04-18,28846,"aat gegenüber die Ernsthaftigkeit ihres Bemühens um eine  gute Ausbildung durch Studienstandsnachweise  nach dem vierten Semester darlegen, könnten wir  uns vorstellen, daß auch die Studenten, die nicht BA- föG-Empfänger sind, mit dem 25. Lebensjahr einen  solchen Studienstandsnachweis erbringen.  ("
44085,So ist es!,CDU/CSU,<unknown>,CDU/CSU,Norbert Geis,1996-03-08,28461,"großes Gut -  ich habe das bereits gesagt -, und niemand will  daran rütteln. Es ist ein für die Demokratie wichtiges  Gut, aber es nicht der „vornehmste Wert"", wie es das  Verfassungsgericht ausgedrückt hat. Der vornehmste  und höchste Wert unserer Verfassung ist vielmehr die  Würde des Menschen.  "
42199,Das sagt mal den Ländern!,FDP,Ulrich Heinrich,SPD,Horst Sielaff,1995-12-07,27147,"irtschaftliche Förderungspolitik ziehen muß,  sollte heißen: Geld gegen ökologische Leistungen,  die über die sogenannte gute fachliche Praxis hinausgehen. Da, meine Damen und Herren auch der  Regierungskoalition, sind wir eindeutig für Ausgleich und Förderung der Landwirte.  (Beifall bei der SPD - "
371745,Da haben Sie nicht zugehört!,DIE LINKE,Tobias Pflüger,FDP,Dr. Marcus Faber,2020-06-19,167897,"ulassen. – Ich habe Ihnen jetzt aufmerksam zugehört, und ich habe auch nach zwei, drei Minuten den Eindruck, wenn Sie über die Bundeswehr und die Soldatinnen und Soldaten sprechen, dass Sie eigentlich ausschließlich über Menschen sprechen, die Sie für Rechtsextreme mit einem Alkoholproblem halten. ("
371548,Sie regieren doch!,FDP,Michael Theurer,SPD,René Röspel,2020-06-18,167827," es einen Innovationsminister der FDP, bei dem man heute nicht weiß, was er morgen sagen wird. (Michael Theurer [FDP]: Wir waren doch gar nicht im Parlament, Herr Kollege! Sie waren doch in der Regierung! Sie regieren doch!) Seine Aussagen sind volatiler als das Photovoltaikspektrum in einem Jahr. ("
263015,Oberlehrerhaft! Furchtbar!,SPD,<unknown>,CDU/CSU,Franz-Josef Holzenkamp,2012-11-21,117295," für die christlich-liberale Koalition. (Beifall bei Abgeordneten der CDU/CSU und  der FDP – Zurufe von der SPD: Oh!) Wir ruhen uns aber nicht aus. Wir erhöhen die Mittel und  setzen sie effizient und effektiv ein. (Alexander Süßmair [DIE LINKE]: Hauptsache, das Betreuungsgeld ist gegenfinanziert! –"
325927,Eine Maßnahme wäre die Nachrüstung von Fahrzeugen!,GRÜNE,Oliver Krischer,SPD,Kirsten Lühmann,2018-02-22,147175,"eifall bei Abgeordneten der SPD – Oliver Luksic [FDP]: Das sollte man vorher machen, nicht nachher!) Leider – das müssen wir auch sagen – kann man ja das Problem der Luftverschmutzung in unseren Städten nicht mit einer Maßnahme erschlagen. (Steffi Lemke [GRÜNE]: Nur mit Nachdenken wird es nichts! – "
185993,Jetzt haben Sie uns total überrascht!,DIE LINKE,Frank Spieth,CDU/CSU,Peter Weiß,2008-01-17,85175,ie bei einem sinkenden Niveau der gesetzlichen Rente in der Zukunft aufgrund eines niedrigen Erwerbseinkommens oder längerer Ausfallzeiten eventuell doch zusätzlich auf die Grundsicherung als staatliche Hilfe angewiesen sind. (Volker Schneider [Saarbrücken] [DIE LINKE]: Zwei Millionen! Eventuell? – 
140474,Sehr wahr!,CDU/CSU,Gitta Connemann,CDU/CSU,Ulrich Petzold,2004-06-17,67092,"ine sachliche und zielstrebige Aufarbeitung eines solchen dramatischen Ereignisses, wie ich es persönlich an der Elbe an vorderster Stelle mit Sandsäcken in der Hand mitgemacht habe,  (Peter Hettlich [GRÜNE]: Sie sind ein richtiger Held!) stelle ich mir anders vor – und die Menschen vor Ort auch.  ("
14953,Hört!  Hört!,SPD,Hans-Günther Toetemeyer,SPD,Dr. Ingomar Hauchler,1992-11-05,8812,"t seit  Jahren hinters Licht, wenn sie sagt, sie habe durch  bilaterale Schuldenerlasse einen wichtigen Beitrag  zur internationalen Entschuldung geliefert. Sie muß  jetzt nämlich eingestehen, daß diese Erlasse sage und  schreibe nur 5 % des gesamten Forderungsbestands  an diese Länder ausmachen.  ("
247563,"Es erfordert ein bisschen Konzentration und Verstand, das gebe ich zu!",CDU/CSU,Volker Kauder,CDU/CSU,Volker Kauder,2011-12-14,110686,"ieren Sie sich einmal an denen. Sie sollten ihnen nicht die Leviten lesen – machen Sie das am besten in Ihrer eigenen Truppe –, sondern sich an ihnen orientieren. (Beifall bei der CDU/CSU sowie bei Abgeordneten der FDP – Fritz Kuhn [GRÜNE]: Ihre Rede zu lesen, ist eine Zumutung! – Gegenruf des Abg. "
271996,"Er soll nicht wie in  Frankreich, sondern wie in Großbritannien  festgelegt werden! Das ist ein Unterschied!",GRÜNE,Dr. Wolfgang Strengmann-Kuhn,FDP,Johannes Vogel,2013-04-25,120995," noch einmal erklären. Wir können leider in ganz Europa sehen – Guntram Schneider hat heute  Morgen das beste Beispiel dafür gegeben –, dass ein  Einheitsmindestlohn, der am Ende im Deutschen Bundestag festgelegt wird, den Einstiegschancen schadet.  Das sehen wir in Frankreich und anderen Ländern. ("
287755,Korrekt!,CDU/CSU,Norbert Barthle,DIE LINKE,Dr. André Hahn,2014-11-25,128950,2015 nichts. Auch deshalb wird die Linke diesen Haushalt ablehnen.  (Beifall bei der LINKEN)  Einige Anmerkungen zum Sportetat. Der Haushaltsausschuss ist über den ursprünglichen Ansatz für 2015 hinausgegangen; er hat die Mittel um 15 Millionen Euro aufgestockt. Das begrüßen wir; das ist positiv.  (
307514,Für uns auch!,GRÜNE,Oliver Krischer,SPD,Ulrich Freese,2016-05-12,138246,Frau Präsidentin! Liebe Kolleginnen und Kollegen! Es ist für jemanden wie mich eine doch etwas schwer erträgliche Diskussion. (Steffi Lemke [GRÜNE]: Nicht nur für Sie! – 
138162,Genau! Deshalb können sie ja nur noch bei Wettbewerbern anrufen!,CDU/CSU,<unknown>,CDU/CSU,Ursula Heinen,2004-04-01,66187,"ndelt. Aber wie sieht es beim Thema Wahlwerbung aus, die natürlich gesondert geregelt wird? Sie, Kolleginnen und Kollegen von der Koalition, dürfen meine mutmaßlichen Wähler belästigen.  (Widerspruch bei der SPD und dem GRÜNE – Hartmut Schauerte [CDU/CSU]: Die haben ja keine eigenen mehr! – Weiterer"
163844,Sehr richtig!,CDU/CSU,Steffen Kampeter,CDU/CSU,Dr. Hans-Peter Friedrich,2006-03-30,74844,"g der Franken-Sachsen-Magistrale im Streckenabschnitt Nürnberg bis Reichenbach im Verkehrswegeplan enthalten. (Horst Friedrich [Bayreuth] [FDP]: Aber nicht  in der 66er-Liste! Das sage ich doch!) Es geht darum, dass wir die 66er-Projekte jetzt abarbeiten, damit wir neue Projekte nachziehen können. ("
133022,Das Schröder,CDU/CSU,Manfred Grund,CDU/CSU,Dr. Jürgen Gehb,2003-12-11,64331,"rren! Wer das klinische Wörterbuch Pschyrembel durchblättert, findet Krankheitsbilder, die manchmal nach den Patienten, manchmal nach dem behandelnden Arzt benannt sind. Dort findet man zum Beispiel auch das Pfeiffersche Drüsenfieber. Was ich dort nicht beschrieben gefunden habe, ist ein Phänomen, ("
293709,Auf Kosten der reicheren Kommunen!,CDU/CSU,Ralph Brinkhaus,SPD,Petra Hinz,2015-04-23,131716,"z denn abgeschafft?)  Nach der Wahl haben wir einen Wechsel gehabt. Gott sei Dank!  (Thomas Oppermann [SPD]: Offenbar gab es Gründe!)  Hannelore Kraft hat in ihrer ersten Regierungszeit als Allererstes einen Finanzierungspakt für die Kommunen, die unter Nothaushalten leiden, auf den Weg gebracht.  ("
69823,Das gilt aber für Sie!,CDU/CSU,<unknown>,SPD,Rudolf Dreßler,1999-06-30,43810," Lautstärke oder Rüpelhaftigkeit im Tonfall. (Wolfgang Lohmann [Lüdenscheid] [CDU/ CSU]: Aber an Lautstärke sind Sie nicht mehr zu übertreffen!) Jeder muß wissen, auf was er sich einläßt. Ist man erst einmal in der Ecke der Dialogunfähigkeit angelangt, wird man so schnell nicht wieder herausfinden. "
228939,Das ist aber  nett!,CDU/CSU,Paul Lehrieder,SPD,Katja Mast,2010-12-17,103299,"r Ablehnung dieses Antrags dafür, dass den Arbeitnehmerinnen und Arbeitnehmern sowie den Arbeitgebern das Geld für die Sozialkassen verloren geht. Das kann ich als Sozialdemokratin nicht tolerieren. (Beifall bei der SPD sowie bei Abgeordneten  der LINKEN) Ich will meine Rede nun vorzeitig beenden. ("
219744,Sehr richtig!,CDU/CSU,Leo Dautzenberg,SPD,Dr. Carsten Sieling,2010-07-01,100033,"stens. Wir wollen gesetzlich verbindliche – und nicht nur mehr oder weniger freiwillige – und verständliche Produktinformationsblätter mit standardisierten Angaben, damit die Dinge verglichen werden können. Wer falsche Informationen hineinschreibt, der muss dafür auch haften. (Beifall bei der SPD – "
304007,Aber daran mangelt es Ihnen eben ganz genau!,GRÜNE,Dr. Anton Hofreiter,CDU/CSU,Dr. Volker Ullrich,2016-02-18,136663,"SU hält!) Das sind Herausforderungen im Bereich der Flüchtlingspolitik und im Bereich der inneren Sicherheit. Wir werden diese Herausforderungen angehen. Da mögen Sie so viel schreien, wie Sie nur wollen. Verantwortung ist keine Frage der Lautstärke, sondern des Handelns. (Beifall bei der CDU/CSU – "
54787,Wann gibt es  denn wieder ein Kamelrennen?,SPD,Ottmar Schreiner,CDU/CSU,Hans-Joachim Fuchtel,1997-09-11,36028,Herr Präsident! Meine sehr verehrten Damen und Herren!  (
336675,Ehrlichkeit!,SPD,Thomas Hitschler,AfD,Martin Reichardt,2018-10-11,152075,". (Carsten Schneider [Erfurt] [SPD]: Mach mal den Knopf auf! Ich glaube, der platzt sonst!) Und Familien vertreten Werte wie Ehrlichkeit und Vertrauen. (Michael Grosse-Brömer [CDU/CSU]: Darin unterscheiden sie sich von der AfD!) Genau diese Werte können Familien auch von einer Regierung verlangen. ("
119417,Das ist doch nicht der Fall! Was malen Sie für einen Popanz an die Wand?,CDU/CSU,Elke Wülfing,GRÜNE,Christine Scheel,2003-01-31,60100,"u sagt jeder Ja. Aber niemand weiß, was sich hinter Ihrer Maßnahme verbergen würde. Ich bin der Auffassung, dass man den Bürgern und Bürgerinnen der Ehrlichkeit halber auch einmal sagen muss, was das bedeuten würde: weniger Geld für Bildung, Forschung und vieles mehr, was ich eben aufgezählt habe. ("
64433,Ihr löst sie ja nicht einmal ein!,CDU/CSU,Wolfgang Zöller,GRÜNE,Katrin Göring-Eckardt,1998-12-10,41210,"1978 Geborene. Tatsächlich geht es darum, daß in dieser Gesellschaft nicht allein Besitzstände etwas gelten, sondern auch die Zukunft. (Beifall beim GRÜNE und bei der SPD) Diese und weitere Erleichterungen haben wir angekündigt. Ich kann verstehen, daß es Ihnen nicht gefällt, daß wir sie einlösen. ("
225576,Sie haben keine Ahnung!,FDP,Ulrike Flach,DIE LINKE,Dr. Gregor Gysi,2010-11-12,102183,"rte, der 1 000 Euro verdient, und der Versicherte, der 10 000 Euro verdient, haben exakt denselben Zusatzbeitrag zu zahlen; das gab es noch nie in Deutschland. Das führen Sie jetzt ein, weil Sie die Anbindung an das Einkommen aufgeben wollen. (Beifall bei der LINKEN sowie bei Abgeordneten der SPD – "
307981,„Vertragsstrafe“ heißt das!,SPD,Christian Flisek,DIE LINKE,Dr. Petra Sitte,2016-06-02,138435,"h. (Dr. Konstantin von Notz [GRÜNE]: So ist das!) Bisher können Rechteinhaber bzw. deren Anwaltskanzleien vom Rechteverletzer eine Erklärung verlangen, dass eine angeblich getätigte rechtswidrige Handlung künftig ausbleibt. Bei Zuwiderhandlung wird dann nicht selten eine saftige Geldstrafe fällig. ("
402858,Ja!,GRÜNE,Markus Kurth,DIE LINKE,Caren Lay,2022-09-06,184910,"r Geld für den sozialen Wohnungsbau einsetzen müssen. Sie fordern 15 Milliarden Euro für den sozialen Wohnungsbau statt Ihrer 2,5 Milliarden Euro. 15 Milliarden Euro für den sozialen und gemeinnützigen Wohnungsbau – das fordern wir als Linke schon lange. (Beifall bei der LINKEN) Lieber Herr Kurth, ("
195343,Na ja! Der ist auch aus  Stuttgart!,SPD,Ute Kumpf,GRÜNE,Dr. Thea Dückert,2008-10-16,89813,"erung insgesamt nicht immer mit einer Stimme gesprochen hat. Der Wirtschaftsminister, der für diesen Themenbereich in erster Linie verantwortlich ist, hat seine Zweifel in einer Protokollnotiz formuliert und dokumentiert. Es gibt zudem Querschüsse von Ihrem Kollegen Ministerpräsidenten Oettinger.  ("
264970,Oh Mann! Das tut  weh!,CDU/CSU,Volker Kauder,SPD,Sigmar Gabriel,2012-12-13,118047,"s zahlen  die Länder, die dann weniger Geld für die Bildung zur  Verfügung haben. Am Ende zahlen die Eltern höhere  Kindergartengebühren, wenn den Kommunen die Einnahmen wegbrechen. Das ist doch die Rechnung, die Sie  hier ständig aufmachen. (Beifall bei der SPD sowie bei Abgeordneten  des GRÜNE –  "
399784,"Oh, oh!",CDU/CSU,Andrea Lindholz,FDP,Konstantin Kuhle,2022-06-02,183642,"Nein, damit sind wir nicht einverstanden, lieber Kollege Throm, ("
309054,"Herr Schneider bestätigt, die Parteivorsitzenden treffen sich wegen Marginalien und Unwichtigkeiten!",GRÜNE,Dr. Anton Hofreiter,SPD,Carsten Schneider,2016-06-24,139158," und seit Februar steht, sind marginal. Das ist meine Auffassung. (Lachen bei Abgeordneten des GRÜNE – Katrin Göring-Eckardt [GRÜNE]: Interessant!) – Ja, Sie müssen die Änderungen nur mit dem Forderungskatalog vergleichen, den die CSU aufgestellt hat, dann sehen Sie, was davon übrig geblieben ist. ("
